"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","Space Heater Cable Replacement for 41-PM","SABIC","SAFCO","Plant Services","Jubail","Scope of work includes.
Supply and Installation of Conduit. Supply and cable laying. Dismantling cable tray cover for cable laying. Re-Installation of cover after cable laying and Termination.","Normal","Completed","Aug-17","Nov-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Oil & Gas","Retrofit Dehydrator Vessel with DFD at HwGOSP-3 ","Saudi Aramco","Hawiyah GOSP","Plant Services","Hawaiyah","Scope of work includes.
Demolition work for electrical cathode. New work for electrical cathode prote. Demolition work for instrumentation scop. New work for instrumentation scop Demolition work for piping scope. New work for piping scope. Demolition work for civil /structure scope. New work for civil /structure. Demolition work for Mechanical scope. New work for Mechanical scope excluding Vessel shell internal blasting & coating. ","Normal","Completed","Aug-17","Nov-17","Jul-05"," ","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Revamping of Floating Roof Tank TK-7507","SABIC","UNITED","Plant Services","Jubail","Scope of work includes.
Demolition of existing/used seal for floating roof and NDE testing of support legs, bottom of floating roof and upper side deck/pontoons of floating roof. Disposal of existing/used seal for floating roof. Repair work for five (5) damaged/broken support legs of floating roof. Refloating the roof by firewater and center of floating roof and reset the support legs (2m high position from tank bottom plate) as maintenance position. Replace/installation of new seal parts. Inspection for new seal test after installation by firewater.
Commissioning activity or involvement during filling of tank with product for the first time.","Normal","Completed","Aug-17","Dec-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Oil & Gas","Vessels Corroded anchor bolts repair and foundation","Saudi Aramco","Berri Gas Plant","Plant Services","Jubail","Scope of work includes: 
Repair concrete. Removal and repairing of fireproofing system. Replacing  and repairing Anchor bolt, weld a plate over the base plate hole was drilled. ","Normal","Completed","Aug-17","Aug-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","PCR-00120-2017 Heat Tracing Maintenance Services ","SADARA","SADARA","Electrical & Instrumentation","Jubail","Scope of work includes Maintenance of Elect Heat Tracing System for a period of THREE Years (long-form-contract). ","Major","Ongoing","Aug-17","Aug-19","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Oil & Gas","HIGH VOLTAGE CABLE SPLICING FOR G-113 A/B  ","Saudi Aramco","Uthmaniyah Gas Plant","Electrical Maintenance, Testing & Commissioning Services","Uthmaniyah","Scope of work includes.
• 2 * Motor starter cable termination
• 2 * Motor cable termination
• 2 * Cable termination for junction box 
• 1 * Cable splicing","Normal","Completed","Aug-17","Aug-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Civil Job for Gate 2 and Electrical Works for EJN-00319 E-Stop","SADARA","SADARA","Civil Construction","Jubail","Scope of work includes.
Supply, Installation & Testing of New Emergency Stop Push Button, Cable, Conduit & other Miscellaneous Materials. Cutting, Excavating and Removing the existing asphalt layer including the macadam layer,
Excavating and removing the base course and Sub-base course from the location till the
bottom of existing rigid pavement, Compacting the excavated level to the required Proctor Test MDD as per ASTM D 1557, Providing, Casting, Placing and Compacting the Ready Mix cast in situ concrete of Grade C30 at location adjacent to existing road block at gate 2,","Normal","Completed","Aug-17","Oct-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Supply of Instrument Technicians during MTBE  T/A 2015","SABIC","IBN-ZAHR","Human Resorce Services","Jubail","The project scope includes supply of manpower (instruments technicians) to fulfil the T/A  requirement during MTBE T/A 2015.","Normal","Completed","","","","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","Fabrication of (5) Nos. of BRM Operator Shelter Offices in MTBE Plant ","SABIC","IBN-ZAHR","Blast Resistant Modules","Jubail","The project scope includes procurement, design, engineering, manufacturing, testing, fabrication and supply of 05 No. of Blast Proof Portables (explosion proof cabins) for the MTBE plant. ","Normal","Completed","","","","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/8.png"
"Petrochemical","In-Field Cable Pulling for Limit Switch and Work Inside PIB ","SADARA","SADARA","Electrical & Instrumentation","Jubail","Scope of work include.
Installation of Cables for Panel to Panel Interconnection inside PIB
Wiring of Cables as per Provided ILDs.
Installation of Cable Panel to Panel inside PIB
Ferruling & Cable Tagging
Re-wire the current connection by changing current terminal to new terminal
Cable Testing & Loop Checking","Normal","Completed","Jul-17","Sep-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Khurais Oil Train 1,2,3 & 4 Plant SD Hydrotorque Flange Bolts ","Saudi Aramco","Aramco Khurais","Bolt Integrity Solutions","Khurais","Bolt Torquing & Tensioning Services at Aramco Khurais Facilities for shut down requirement ","Normal","Completed","Jun-17","Dec-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","MPEI Construction Works for GAS Yanbu Nitrogen Generation Unit Project - NGU","SABIC / GAS Yanbu","eTEC Arabia","Plant Services","Yanbu","Scope of work includes.
Mechanical, Piping, Electrical and instrumentation works. Installation of rotating & Static equipments. Filling of lubrications, installation of steel structure, ground works, installation of anchor bolts, touch up paint, installation for equipment, perlite and catalyst filling, pipe fabrication and erection, FRP pipe erection, valve and inline instrument installation, NDT and hydro test and painting. Installation of Electrical equipment, MCC panels, UPS, BUS DUCT, SCADA equipments, MV/LV & Control cables, Jbs and local Push Button, Cable trays with fitting, light fixtures, light stanchion/poles, cathodic protection and DCS equipments.","Major","Completed","Jun-17","May-18","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","LHS Drumming Line in Packaging Centre to provide Electrical Heat Tracing Services ","SADARA","SADARA","Electrical & Instrumentation","Jubail","Scope of Works includes.
Installation of Heating Cable (Self-Regulating Type) on newly installed  Pipeline, Power Junction Box & Accessories, RTD Sensor, End & Splice Termination Kit, Inline Splice Kit, Fiber Tape. Installation different sizes of Conduit. Installation of Power & RTD cable from EHT Panel at MCC to field. Cable glanding and termination","Normal","Completed","Jun-17","Sep-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Modifications to Combined Pyoil to Fluxoil Line to MFC-Heat Tracing Services ","SADARA","SADARA","Electrical & Instrumentation","Jubail","Scope of Works includes.
Installation of Heating Cable,  Power Junction Box & Accessories,  RTD Sensor,  End & Splice Termination Kit,  
Fiber Tape,  cable tray,  power & RTD cable,  Cable glanding and termination.","Normal","Completed","Jun-17","Dec-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","CGC 30"" Line Partially Replacement Service ","SABIC","Sharq","Plant Services","Jubail","Scope of work includes.
Fabrication & Erection of piping & Pipe supports. NDT, Painting and sandblasting, testing and pre-commissioning and commissioning support.","Normal","Completed","May-17","Jul-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Electric Heat Tracing System Installation (ATR R5201) PV TAM17 ","SABIC","Ar-Razi","Electrical & Instrumentation","Jubail","Scope of works includes.
Removal of insulation cladding and existing heat tracing cable from 14"" as per drawing .
Installation of Heat tracing cable, cable glanding and termination, cable continuity checking and installation of insulation and cladding","Normal","Completed","Apr-17","Aug-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/11.png"
"Oil & Gas","Trial Excavation Works for Replace Boilers at Berri Gas Plant  ","Saudi Aramco","JGC","Civil Construction","Jubail","Scope of works includes
Demolition & Disposal od existing concrete slab / asphalt pavement. Trial excavation works. Backfilling using excavated soil & cleaning. Reinstallation of pavement.","Normal","Completed","May-17","Jun-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Oil & Gas","Piping works for Gas Jubail project","SABIC / Gas Jubail","eTEC Arabia","Plant Services","Jubail","Scope of work includes. Scaffolding installation and removal, FRP Piping installation and jointing and hydrotest.","Normal","Completed","Mar-17","Apr-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/14.png"
"Petrochemical","Civil Works for Washing Facility for Clean Room ","Sipchem","Sipchem","Civil Construction","Jubail","Civil Works for Washing Facility for Clean Room at the Sipchem plant. ","Normal","Completed","Mar-17","Apr-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/30.png"
"Power","Transformer Dismantling, Lifting and mobility services at Khulais S/S","SEC","Fuji Electric ","Electrical Maintenance, Testing & Commissioning Services","Jeddah","Scope of work includes
Inspection of 250 MVA Transformer at Workshop, including dismantling, Loading, Transportation from Khulais S/S to workshop","Normal","Completed","Mar-17","Apr-17","Jul-05","",""
"Mining & Minerals","Supply & Installation of Additional Electric Overhead Travelling Crane (EOT) in Compressor Building at Ammonia Plant ","MA'ADEN","Ma'aden Phosphate","Plant Services","Ras Al-Khair","Scope of work includes
Supply & Installation of Additional Electric Overhead Travelling Crane (EOT) in Compressor, and installation of isolation switch for new crane, power, grounding cables, cable tray supports, termination Jb, wireless pannel with radio remote control. Civil works includes road cutting and paving road with concrete excluding culvert cutting. Excavation for cable laying except trench routing. ","Normal","Completed","Feb-17","Jul-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Petrochemical","Civil Foundation for DMS Heater ","Sipchem","Sipchem","Civil Construction","Jubail","Scope of work includes
Cutting the existing slab,excavation,backfilling and compaction. Construction of 2 foundations(1x1x0.3)m and (1.15x1x0.3)m. Fixing insert plate and anchor bolts as per provided drawing.","Normal","Completed","Jan-17","Apr-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/30.png"
"Petrochemical","Replacement of CS Sulphuric Acid Lines of SF3-SF4 (AF-1540071)","Sabic","Safco","Plant Services","Jubail","Scope of work includes
Procurement of piping items as per the provided isometrics, Fabrication of piping including shop NDT, Erection of piping including site NDT, Demolition of existing piping, Procurement and installation of pipe supports, Scaffolding erection and dismantling, Painting and sand blasting, Testing and commissioning ","Normal","Completed","Jan-17","Jun-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Oil & Gas","Scaffolding required for Flare Pipeline Installation ","Saudi Aramco","Tecnicas Reunidas  ","Scaffolding Services","Jazan","Scope of work includes Scaffolding Services  Scaffolding Services including supplying, erecting, renting and dismantling.","Major","Ongoing","Jan-17","September 2019","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Displaced Pipeline Repair and Rectify","SABIC","Sabtank Jubail","Plant Services","Jubail","The project scope is the repair for the displaced pipelines in SABTANK and the supports rectification for the piping. ","Normal","Completed","Jan-17","Jul-17","Jul-05","",""
"Petrochemical","Olefins-III TA17 Decoke Line Replacement","SABIC","PetroKemya","Plant Services","Jubail","Scope of work includes
The project scope is pre-fabrication and replacement of Decoke header in Olefins-III.  ","Normal","Completed","Jan-17","Jun-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
